 ,Area,Mean,X,Y
1,6,1.2,43.5,3.0
2,46,2.5,261.7,5.8
3,1,1.0,491.5,2.5
4,5,1.0,306.9,5.3
5,289,1.1,1414.1,15.6
6,17,1.2,46.9,7.6
7,4,1.5,492.0,7.0
8,7,1.3,298.5,8.5
9,310,1.1,1372.8,19.5
10,7,1.1,196.9,11.8
11,25,1.2,1335.1,12.4
12,204,1.7,166.5,18.3
13,30,1.2,343.1,13.2
14,580,1.5,1057.5,26.3
15,221,2.0,85.8,22.2
16,50,1.1,442.0,17.0
17,129,1.8,107.8,23.0
18,68,1.2,411.6,19.6
19,191,1.6,328.1,22.0
20,49,1.3,342.2,20.6
21,166,1.2,391.5,21.5
22,47,1.9,117.2,23.6
23,80,1.3,485.7,26.8
24,156,1.6,133.4,28.2
25,68,1.4,205.2,27.6
26,78,1.9,268.4,29.1
27,55,1.1,408.2,28.2
28,71,1.4,364.8,28.5
29,83,3.0,246.9,29.8
30,7,2.6,153.5,28.8
31,33,1.9,125.2,33.1
32,140,2.2,148.9,37.0
33,24,1.4,214.2,31.8
34,30,1.5,312.7,30.1
35,10,1.3,304.8,30.8
36,88,1.6,324.9,36.5
37,157,1.7,226.2,37.8
38,193,1.6,288.2,42.4
39,40,1.1,1348.7,37.7
40,114,1.2,1414.7,43.1
41,39,1.8,177.4,38.1
42,18,1.2,472.6,37.6
43,2,1.0,1414.0,35.5
44,152,3.7,91.5,44.0
45,172,58.8,256.7,44.3
46,103,1.5,343.7,46.3
47,5,2.0,125.5,41.5
48,135,2.3,240.5,46.0
49,113,1.6,172.9,48.4
50,199,1.6,310.5,48.5
51,162,1.3,207.8,50.4
52,341,1.1,1376.9,57.5
53,12,1.0,1344.3,47.0
54,1,2.0,7.5,46.5
55,98,1.9,330.4,53.3
56,61,1.6,354.2,51.8
57,141,1.8,148.4,55.1
58,7,1.7,279.9,53.2
59,32,1.3,11.6,56.8
60,30,1.5,177.2,58.6
61,201,1.4,298.8,64.0
62,1,2.0,158.5,56.5
63,64,1.3,183.1,65.1
64,73,1.1,1425.3,64.8
65,45,1.4,13.7,64.1
66,20,1.4,209.8,64.1
67,193,1.8,262.0,70.4
68,139,1.5,233.8,70.3
69,92,2.2,323.5,68.1
70,56,1.5,218.6,70.8
71,43,1.7,147.0,69.9
72,87,1.3,177.5,72.3
73,102,45.3,339.8,71.1
74,7,1.1,486.8,67.5
75,88,1.2,1348.1,71.2
76,60,1.3,1428.4,72.3
77,59,1.6,15.4,71.4
78,270,8.6,416.0,79.5
79,4,2.0,128.0,71.5
80,22,2.3,356.1,73.5
81,46,1.4,490.9,76.7
82,98,1.7,309.8,80.5
83,248,1.7,434.8,85.1
84,110,1.4,237.2,81.0
85,153,1.5,290.5,83.4
86,12,2.8,353.9,78.5
87,119,1.1,1360.7,84.0
88,98,1.5,208.4,83.9
89,144,1.1,1395.4,83.0
90,31,1.6,8.2,84.8
91,88,1.8,1338.2,85.8
92,53,1.6,42.6,86.6
93,181,1.5,404.2,87.5
94,94,1.8,597.6,86.6
95,88,21.0,617.1,85.6
96,46,1.7,242.0,87.0
97,104,44.5,343.6,87.6
98,203,1.5,280.1,92.3
99,122,1.4,569.9,88.7
100,48,1.4,201.2,89.0
101,1,1.0,53.5,85.5
102,7,16.3,129.6,87.8
103,76,1.4,178.0,92.0
104,1,2.0,98.5,87.5
105,105,1.5,464.9,93.7
106,239,1.9,89.8,98.8
107,215,1.4,310.1,99.5
108,3,1.0,1365.2,93.2
109,265,2.0,331.5,103.2
110,116,1.5,214.1,102.6
111,108,2.1,555.0,102.4
112,12,1.2,182.8,97.7
113,150,1.1,1380.2,103.8
114,43,78.7,107.1,101.7
115,178,1.9,346.6,107.8
116,88,1.4,262.5,103.5
117,148,1.5,246.2,108.9
118,116,1.7,515.0,108.0
119,119,1.5,62.5,109.7
120,114,1.5,198.3,108.9
121,96,1.4,584.3,108.9
122,109,2.0,99.2,113.2
123,41,1.3,268.2,110.3
124,49,1.1,1343.1,110.5
125,90,1.9,451.2,113.0
126,47,1.7,53.4,114.8
127,56,1.4,384.4,114.5
128,115,44.9,625.1,114.2
129,159,1.2,1402.6,117.8
130,4,75.0,488.0,112.0
131,86,1.2,1348.2,116.9
132,68,1.5,158.0,118.0
133,35,82.4,493.5,116.7
134,33,1.8,520.2,116.7
135,217,1.3,334.6,123.4
136,2,1.5,607.0,115.5
137,230,1.3,293.1,124.7
138,12,1.2,399.4,119.7
139,18,1.7,600.8,121.7
140,94,1.7,86.5,125.2
141,163,1.5,265.3,127.3
142,35,1.8,582.7,122.9
143,38,82.8,492.6,122.8
144,125,3.3,914.4,127.8
145,2,1.0,392.0,121.5
146,1,2.0,1425.5,121.5
147,1,3.0,508.5,122.5
148,59,1.5,125.9,128.3
149,1,73.0,549.5,123.5
150,2,2.0,143.0,124.5
151,7,1.1,395.2,125.1
152,267,70.8,899.6,132.6
153,6,1.7,147.0,128.0
154,15,74.0,544.2,127.6
155,33,1.9,510.5,130.2
156,51,2.2,578.3,131.6
157,58,1.6,13.7,132.9
158,116,2.9,562.6,135.5
159,43,1.3,181.6,133.8
160,8,1.9,192.0,132.0
161,152,1.1,1413.5,135.9
162,62,1.5,103.0,135.4
163,119,6.6,613.1,139.0
164,144,1.4,877.2,138.4
165,32,1.8,62.8,136.8
166,110,22.1,241.1,139.3
167,110,3.6,541.9,140.4
168,31,19.3,215.2,138.0
169,279,1.8,627.8,144.2
170,48,33.3,958.5,140.6
171,196,1.4,370.1,145.2
172,126,45.2,578.7,142.5
173,12,37.2,44.4,139.2
174,240,1.3,306.5,146.1
175,2,1.5,68.5,140.0
176,138,1.5,84.5,148.6
177,20,2.0,63.5,144.2
178,130,1.4,929.1,148.3
179,6,1.7,452.0,146.5
180,150,1.9,487.8,152.1
181,94,1.9,32.2,151.9
182,42,1.5,137.0,149.3
183,1,2.0,180.5,146.5
184,4,1.5,878.5,146.8
185,44,10.1,990.0,150.2
186,31,1.8,524.3,152.0
187,29,1.9,478.7,150.5
188,156,1.5,1407.1,156.3
189,19,1.3,178.2,153.7
190,286,1.5,914.0,156.8
191,75,1.9,558.0,155.2
192,221,15.1,650.6,157.9
193,198,1.4,893.1,161.1
194,43,2.3,134.5,157.6
195,115,1.5,119.3,161.9
196,4,1.2,181.0,156.0
197,46,11.1,989.5,158.9
198,5,2.0,54.9,157.3
199,5,1.6,209.9,159.3
200,23,2.0,595.6,162.4
201,129,1.7,951.4,164.3
