 ,Area,Mean,X,Y
1,78,4.1,33.6,7.6
2,58,3.1,239.3,4.7
3,169,2.4,534.8,10.5
4,10,2.8,702.0,3.5
5,45,2.0,710.3,7.3
6,5,2.2,1014.3,3.9
7,47,9.7,1391.0,6.9
8,35,2.1,139.1,8.3
9,52,2.7,253.8,9.3
10,40,2.3,564.5,7.6
11,47,2.1,132.1,9.5
12,22,1.9,1091.1,8.8
13,3,2.3,1419.8,7.2
14,31,9.4,387.9,10.9
15,17,2.3,786.3,9.3
16,23,150.3,366.7,10.5
17,205,4.5,747.2,16.4
18,1,2.0,603.5,9.5
19,14,2.0,641.4,10.4
20,103,1.9,1093.7,18.5
21,12,2.2,1076.3,12.9
22,83,3.4,1414.9,17.2
23,44,2.1,580.5,15.9
24,181,123.6,1388.8,17.1
25,45,6.9,318.8,16.5
26,210,2.1,682.0,22.4
27,49,4.7,280.5,19.1
28,194,2.2,627.3,23.7
29,153,2.3,1047.7,21.5
30,81,2.3,121.1,22.2
31,7,4.7,722.5,17.5
32,15,17.1,468.4,19.0
33,190,2.1,596.8,23.8
34,96,2.7,188.7,24.2
35,12,1.9,544.9,20.4
36,4,2.2,552.0,19.0
37,84,1.9,782.0,23.4
38,82,2.4,204.9,24.7
39,19,33.5,154.6,23.8
40,101,3.8,176.3,27.2
41,32,2.3,230.9,23.1
42,10,38.6,1313.0,21.3
43,57,4.1,742.1,26.3
44,7,2.0,1121.5,23.8
45,22,2.2,20.4,26.1
46,30,58.6,49.2,25.7
47,8,196.9,296.4,24.4
48,23,99.4,345.8,27.7
49,2,2.0,544.5,25.0
50,6,1.7,1141.3,25.8
51,76,2.4,478.1,28.9
52,1,105.0,376.5,26.5
53,88,2.5,1045.7,32.1
54,71,3.1,282.4,33.3
55,10,7.7,402.8,29.6
56,7,1.9,1028.5,29.5
57,8,2.6,16.1,31.8
58,19,59.5,44.4,31.8
59,82,108.0,1402.1,34.9
60,2,2.5,21.0,31.5
61,50,2.2,85.2,34.9
62,27,2.3,254.5,35.6
63,76,2.1,263.3,38.4
64,139,2.1,745.7,39.2
65,163,39.6,1384.7,40.2
66,202,2.6,628.6,40.7
67,9,2.2,548.9,35.4
68,268,2.1,701.1,43.4
69,81,128.9,1420.9,39.7
70,60,2.5,184.9,39.0
71,36,2.3,417.5,38.1
72,2,2.5,427.5,36.0
73,36,2.5,222.1,38.4
74,49,1.9,805.2,42.0
75,6,2.5,480.2,38.5
76,94,2.4,1097.8,41.7
77,5,3.6,302.1,39.3
78,15,1.8,568.6,40.1
79,1,2.0,670.5,38.5
80,4,2.5,399.5,40.0
81,102,4.2,43.9,46.0
82,58,2.2,233.5,44.6
83,165,3.3,366.3,48.5
84,41,2.3,516.5,45.2
85,5,29.2,134.1,42.3
86,170,2.9,381.6,48.8
87,21,2.3,402.4,43.7
88,16,2.6,216.9,45.2
89,90,2.1,1093.8,49.2
90,15,28.5,135.0,47.4
91,163,2.9,461.2,52.5
92,78,2.2,716.5,49.8
93,98,2.3,1071.8,52.1
94,15,2.5,450.4,49.4
95,38,1.9,571.1,50.8
96,7,1.9,775.8,48.1
97,99,2.4,1055.2,52.7
98,14,2.2,725.7,50.1
99,78,2.4,111.1,54.9
100,22,2.4,259.4,52.0
101,8,2.8,396.6,51.1
102,21,2.4,419.5,52.4
103,36,2.7,434.8,53.4
104,103,2.7,662.5,59.8
105,10,99.8,1279.3,53.5
106,101,2.0,770.4,57.5
107,13,22.2,6.0,55.7
108,84,2.2,20.5,59.3
109,4,2.2,71.0,55.0
110,110,2.2,48.7,62.5
111,42,2.4,74.7,61.0
112,60,2.1,257.2,63.0
113,4,2.5,561.0,58.0
114,42,233.9,631.1,61.6
115,4,2.2,281.0,59.5
116,184,3.1,1357.8,69.1
117,25,2.5,219.6,63.8
118,36,2.6,416.6,63.6
119,20,2.0,783.7,64.6
120,141,2.0,1036.6,71.3
121,73,10.5,452.1,68.5
122,194,2.3,580.1,70.7
123,35,2.2,756.3,67.3
124,28,1.9,1087.4,65.6
125,12,2.0,1097.0,64.8
126,28,2.0,265.8,67.3
127,4,2.0,504.0,65.0
128,71,6.8,467.3,71.7
129,100,5.3,677.1,72.5
130,9,2.0,1093.6,67.6
131,41,1.7,816.9,70.4
132,11,2.1,786.9,69.6
133,104,42.1,364.9,74.3
134,61,2.2,1084.5,73.6
135,117,2.4,395.5,77.9
136,84,3.6,421.0,74.7
137,12,2.5,611.8,72.9
138,46,103.7,95.0,75.5
139,23,2.3,226.4,75.8
140,26,2.3,601.7,77.8
141,12,2.2,252.0,77.2
142,122,5.9,655.3,80.1
143,203,3.0,708.7,85.7
144,106,2.1,41.9,81.5
145,32,1.9,789.6,79.3
146,2,3.0,615.0,78.5
147,14,2.4,223.6,81.6
148,3,3.0,616.2,81.2
149,36,83.9,1059.6,83.5
150,37,5.9,451.1,84.0
151,44,3.0,635.7,86.2
152,112,4.3,725.2,87.9
153,18,4.0,337.8,84.4
154,23,2.3,293.9,87.5
155,58,235.4,669.1,91.2
156,125,2.1,31.4,93.9
157,4,2.0,522.0,87.5
158,44,2.0,61.8,92.0
159,8,2.6,593.4,88.6
160,77,64.8,618.4,92.4
161,20,2.3,1387.0,91.0
162,65,2.3,309.7,93.6
163,5,56.0,1419.9,90.7
164,12,28.8,273.8,91.6
165,78,3.2,653.6,97.5
166,34,63.9,352.8,95.3
167,8,3.1,444.2,92.5
168,65,2.5,1397.3,96.1
169,11,101.8,167.7,94.1
170,9,2.1,594.6,94.4
171,18,2.3,112.2,95.3
172,23,114.9,197.3,95.9
173,18,63.7,1419.6,96.1
174,16,1.7,68.3,96.6
175,1,30.0,272.5,95.5
176,31,2.3,117.6,99.2
177,43,2.1,316.5,99.9
178,7,2.4,391.9,97.8
179,75,3.1,1409.4,102.4
180,42,2.8,287.4,101.3
181,118,4.8,1325.5,108.1
182,16,2.2,1374.2,102.0
183,41,4.2,704.8,103.0
184,37,149.3,724.8,104.4
185,117,2.4,780.4,108.0
186,29,2.2,1148.1,102.7
187,3,2.3,226.8,101.8
188,137,4.1,296.3,109.2
189,26,2.0,544.6,104.9
190,69,2.3,602.7,107.1
191,163,2.8,1363.7,109.1
192,100,2.1,87.8,110.0
193,10,2.0,432.0,104.5
194,126,2.9,460.2,111.0
195,56,3.8,618.5,107.8
196,9,135.7,366.9,105.6
197,179,2.5,1392.2,110.2
198,65,2.3,247.4,109.0
199,9,2.6,501.2,107.9
200,83,3.0,344.2,113.3
201,12,1.9,1163.8,111.4
202,30,1.9,960.1,113.9
203,1,2.0,228.5,112.5
