 ,Area,Mean,X,Y
1,134,1.7,137.0,8.0
2,88,1.5,75.1,9.9
3,135,1.5,206.1,9.2
4,221,1.8,552.4,11.4
5,213,1.5,107.4,14.5
6,25,11.6,970.4,6.4
7,424,2.9,1053.0,13.7
8,459,2.6,1019.4,20.9
9,133,1.4,41.7,14.2
10,50,1.4,83.2,10.4
11,7,6.0,181.2,7.2
12,51,1.4,246.7,11.4
13,185,9.8,745.3,12.4
14,299,11.3,887.3,17.0
15,3,1.7,292.2,7.8
16,49,1.4,30.5,13.0
17,75,114.4,829.5,13.9
18,17,1.5,237.9,12.7
19,142,16.2,341.4,17.2
20,154,2.2,400.1,17.5
21,139,6.5,474.2,18.4
22,142,127.7,462.9,23.5
23,252,5.6,1140.0,23.7
24,337,1.7,307.4,31.1
25,63,1.8,555.4,21.5
26,78,17.2,689.7,25.0
27,85,6.1,849.7,24.1
28,1,2.0,1239.5,20.5
29,228,132.7,743.9,31.6
30,36,31.4,959.8,25.9
31,219,1.9,364.9,32.4
32,140,1.6,126.2,32.7
33,149,1.9,401.8,32.4
34,212,7.0,447.1,34.3
35,32,2.0,1401.5,27.5
36,62,116.9,783.6,30.7
37,130,2.4,988.9,30.9
38,198,11.7,1202.1,35.2
39,75,13.5,730.4,33.1
40,166,1.6,147.9,35.3
41,49,2.3,1269.8,31.8
42,99,2.6,866.4,34.8
43,596,2.3,1097.2,47.6
44,189,1.4,21.4,42.4
45,87,2.5,816.5,37.0
46,161,3.4,1032.6,41.0
47,51,1.5,219.4,38.9
48,97,4.9,487.0,42.1
49,111,1.9,541.3,41.6
50,94,2.0,647.7,44.5
51,105,32.5,884.3,41.1
52,55,10.3,1151.9,39.4
53,72,1.8,322.4,42.5
54,97,1.7,420.4,41.9
55,101,116.5,772.4,45.1
56,264,2.3,1407.5,44.6
57,30,11.8,75.5,40.5
58,8,1.9,427.6,39.4
59,113,2.5,943.3,43.9
60,149,12.7,84.4,48.1
61,46,1.6,217.2,46.9
62,41,4.6,171.7,48.5
63,1,3.0,331.5,43.5
64,113,1.4,46.6,50.7
65,27,2.1,1288.1,48.1
66,88,3.0,1076.9,50.5
67,6,5.0,179.0,48.0
68,150,2.1,436.8,52.2
69,194,5.2,908.6,54.4
70,21,1.7,326.5,49.7
71,79,1.7,395.2,54.5
72,125,2.3,992.6,54.1
73,304,3.6,1031.4,57.8
74,141,1.6,286.0,55.6
75,16,32.4,579.4,53.1
76,217,2.3,939.0,58.5
77,1,1.0,266.5,50.5
78,70,2.0,358.6,55.0
79,139,2.0,456.3,57.1
80,119,2.0,668.1,59.4
81,167,2.3,962.5,56.2
82,18,34.9,591.4,54.7
83,125,1.5,54.0,58.6
84,21,1.6,270.8,55.1
85,45,1.8,505.6,54.9
86,59,2.3,835.5,57.7
87,59,30.7,1147.4,55.7
88,73,1.8,351.5,59.8
89,424,2.3,1417.6,66.7
90,21,37.3,596.6,57.5
91,211,2.5,885.2,62.9
92,2,2.0,548.0,55.5
93,174,1.4,118.0,61.9
94,47,1.7,551.9,60.8
95,1,2.0,972.5,56.5
96,123,2.0,692.5,62.9
97,26,1.8,505.3,61.2
98,128,2.0,525.1,64.8
99,13,1.8,545.3,60.5
100,1,30.0,575.5,58.5
101,198,1.5,19.9,65.9
102,151,1.7,183.8,65.7
103,143,1.8,625.9,66.0
104,97,8.1,1080.6,64.6
105,48,4.0,1133.2,64.9
