 ,Area,Mean,X,Y
197,24,1.8,1411.3,199.7
198,9,2.1,1432.1,197.6
199,16,1.9,798.8,202.6
200,3,1.7,825.8,200.8
201,166,132.0,1369.5,208.9
202,135,1.9,1132.1,210.7
203,64,2.0,662.8,207.5
204,207,4.4,608.2,212.1
205,1,1.0,770.5,205.5
206,191,3.4,1110.8,215.2
207,199,2.5,1169.5,212.9
208,166,2.1,695.0,215.7
209,69,1.9,963.2,212.3
210,24,1.8,945.0,211.2
211,21,3.2,1052.2,211.4
212,19,1.9,927.6,213.9
213,42,2.3,1432.7,214.7
214,16,1.9,760.5,217.0
215,79,2.0,1190.6,224.9
216,100,2.0,976.0,229.2
217,3,2.0,1024.5,222.5
218,69,6.3,1355.7,224.3
219,46,2.3,777.1,225.5
220,71,2.5,1176.2,228.1
221,38,2.2,1425.4,226.7
222,177,2.0,721.5,237.4
223,30,72.1,642.8,231.0
224,29,2.0,934.9,232.8
225,54,55.2,1108.4,235.1
226,43,85.0,1040.0,234.3
227,171,6.3,1137.8,240.1
228,206,1.8,544.9,238.6
229,50,7.5,760.0,235.0
230,29,2.1,865.8,233.3
231,42,47.5,581.2,237.3
232,10,2.6,1066.8,233.9
233,36,53.8,1089.7,236.6
234,14,2.1,786.1,237.2
235,58,14.6,1034.4,241.0
236,188,2.8,1190.3,246.0
237,30,48.2,1366.6,241.1
238,196,1.8,309.2,246.8
239,43,2.0,1215.8,242.6
240,205,2.2,893.0,250.5
241,21,2.1,1011.4,247.4
242,272,24.7,1159.7,253.0
243,22,2.4,1073.7,250.6
244,42,2.2,1415.3,250.3
245,176,2.5,629.9,257.2
246,2,2.5,968.5,251.0
247,78,2.4,1348.8,257.4
248,33,85.6,756.0,256.6
249,133,1.8,369.4,261.2
250,65,2.7,586.2,262.0
251,31,66.1,658.4,261.3
252,6,2.2,1060.7,259.3
253,181,1.8,342.5,268.3
254,201,1.8,285.2,268.4
255,16,2.2,1221.4,261.6
256,78,2.0,1332.1,265.4
257,37,14.2,760.1,266.8
258,98,2.2,849.1,267.8
259,115,122.7,1118.7,269.3
260,24,2.5,1416.5,265.0
261,44,2.1,901.9,267.6
262,4,148.2,1145.0,265.5
263,55,63.3,1376.0,267.2
264,32,79.4,741.5,270.0
265,70,2.0,1249.4,271.9
266,101,2.6,833.3,275.1
267,215,3.5,1100.9,278.7
268,9,2.0,782.8,272.4
269,37,2.1,1209.4,276.0
270,11,2.0,809.9,273.6
271,19,2.7,1393.3,274.4
272,38,1.9,595.8,275.9
273,43,6.3,729.5,277.9
274,58,2.6,1190.8,279.3
275,93,2.2,1366.4,281.5
276,46,2.0,918.5,282.2
277,141,2.8,1174.7,286.3
278,55,2.0,1229.4,282.0
279,52,2.0,1325.5,282.5
280,18,1.9,1037.4,281.8
281,176,90.1,875.9,285.0
282,102,3.5,1131.3,286.7
283,56,2.1,1078.9,285.2
284,257,1.8,300.8,293.7
285,67,2.6,1121.0,288.0
286,92,1.9,193.8,290.0
287,184,2.0,422.7,293.6
288,126,2.5,820.7,291.6
289,20,1.9,1042.8,287.0
290,98,2.0,1389.2,294.8
291,145,1.9,246.7,295.9
292,70,1.9,221.2,293.9
293,137,2.1,1195.6,295.4
294,161,1.9,364.7,296.3
295,12,1.9,786.8,291.4
296,148,1.9,393.7,296.6
297,1,2.0,771.5,291.5
298,51,1.9,1276.7,295.1
299,14,1.9,1319.7,298.1
300,153,1.9,341.5,306.3
301,100,2.0,1367.7,302.0
302,15,5.4,877.5,302.5
303,61,2.2,1156.2,305.0
304,39,2.0,1178.1,304.6
305,63,2.1,1225.2,305.9
306,76,1.9,271.5,307.8
307,64,2.1,1345.5,306.6
308,210,5.7,1426.9,309.2
309,21,183.8,838.5,305.5
310,97,2.0,1122.7,309.4
311,64,1.9,308.0,310.8
312,126,2.0,1143.8,310.7
313,12,1.9,1271.4,310.2
314,55,1.9,1071.1,317.6
315,182,1.9,406.7,322.6
316,13,2.0,779.5,316.2
317,90,2.1,1331.8,318.9
318,74,2.0,177.3,323.5
319,94,2.6,861.0,321.9
320,55,2.1,1161.5,321.7
321,154,2.1,1390.9,328.3
322,103,1.9,158.8,327.1
323,242,1.8,210.0,328.7
324,37,2.0,696.6,322.7
325,13,3.2,893.9,322.0
326,16,2.1,1300.4,325.4
327,77,2.0,258.9,329.4
328,42,2.0,438.5,328.4
329,92,2.0,356.0,330.6
330,291,2.3,906.4,338.2
331,12,2.0,1094.8,328.8
332,46,2.0,1216.8,331.1
333,43,9.3,1287.9,331.6
334,79,2.4,1348.3,332.6
335,77,5.6,838.5,332.3
336,42,2.0,1073.0,331.6
337,31,2.0,1322.2,330.6
338,76,1.8,372.9,334.1
339,93,1.8,321.0,335.9
340,43,9.8,793.8,337.2
341,353,1.9,279.8,346.9
342,21,2.0,302.6,335.6
343,72,2.5,931.8,338.5
344,51,8.6,473.1,338.0
345,112,5.3,1052.5,341.0
346,12,1.8,1245.6,337.7
347,59,2.1,990.1,342.4
348,265,2.2,1085.9,356.4
349,156,2.2,1219.6,349.1
350,429,2.8,749.0,356.9
351,169,2.0,1370.2,351.0
352,53,2.1,1199.2,347.3
353,233,1.9,235.2,353.1
354,65,2.5,1004.4,349.9
355,43,2.5,1018.3,349.3
356,25,2.0,1114.9,348.4
357,5,1.8,1251.1,347.7
358,156,2.9,961.2,352.7
359,75,2.1,1413.4,353.6
360,74,2.0,452.4,353.5
361,217,2.4,1354.8,358.4
362,30,2.1,1121.5,354.0
363,241,2.0,311.9,363.4
364,235,9.1,424.8,365.1
365,48,3.1,1035.0,357.4
366,148,2.2,1066.9,362.0
367,97,2.1,150.1,360.6
368,56,2.0,193.9,357.0
