 ,Area,Mean,X,Y
1,130,7.8,446.4,9.3
2,96,58.6,611.6,7.9
3,129,3.2,1120.2,9.1
4,136,2.8,898.9,10.3
5,96,36.8,1291.8,7.9
6,155,2.0,1340.1,10.8
7,150,3.6,1101.6,11.9
8,107,2.4,1148.8,12.7
9,121,2.2,1242.4,12.8
10,218,2.1,1357.9,15.2
11,151,5.0,369.1,15.8
12,167,58.8,982.5,14.1
13,83,2.3,1389.3,13.0
14,93,6.5,489.1,14.5
15,145,4.0,667.6,18.1
16,289,2.4,202.8,18.8
17,263,7.9,460.3,20.9
18,123,3.5,835.1,14.8
19,120,2.0,1221.1,17.7
20,149,4.9,1403.1,16.9
21,52,27.9,330.7,14.8
22,158,2.6,678.1,19.6
23,127,4.4,349.6,18.9
24,128,89.6,650.1,18.6
25,108,2.5,1052.8,17.8
26,213,2.6,1162.9,20.1
27,101,37.8,522.0,20.5
28,122,77.6,595.4,19.4
29,117,98.3,629.1,18.2
30,112,2.7,1036.7,19.0
31,19,149.6,1186.8,16.3
32,207,8.3,1205.0,21.9
33,73,2.2,1317.7,16.3
34,99,3.8,287.4,21.2
35,157,2.1,786.4,19.3
36,105,2.5,1069.0,19.1
37,79,149.2,1182.0,21.3
38,242,10.6,546.4,23.2
39,221,2.0,1347.1,25.5
40,124,3.3,1010.8,22.7
41,12,28.8,321.8,22.1
42,245,2.7,803.2,30.5
43,58,3.6,1316.7,23.6
44,144,33.9,403.5,29.9
45,103,9.1,503.3,26.6
46,127,116.0,1110.3,28.4
47,213,77.2,921.6,30.5
48,172,46.8,1431.4,31.1
49,146,2.6,1080.5,32.1
50,133,2.0,1266.3,28.4
51,131,29.9,415.1,31.0
52,120,52.7,447.2,30.6
53,130,3.3,377.5,31.1
54,202,2.4,1139.6,34.9
55,330,8.1,173.5,37.4
56,231,3.2,474.7,34.6
57,110,97.1,588.6,32.7
58,93,2.3,1045.9,31.2
59,151,1.7,1379.4,34.7
60,391,4.5,1002.6,39.8
61,237,1.9,1363.9,35.0
62,111,102.5,567.0,33.5
63,117,2.0,1247.1,36.2
64,90,39.0,1294.2,32.6
65,822,2.8,221.7,44.9
66,103,22.1,539.8,34.8
67,184,7.1,609.2,35.1
68,161,3.1,777.2,38.4
69,161,89.8,902.0,36.9
70,119,69.6,434.2,35.4
71,118,2.2,748.5,34.6
72,246,2.2,1228.4,40.5
73,190,8.2,493.0,38.0
74,108,2.7,1025.8,35.9
75,17,2.5,703.7,34.3
76,308,6.2,275.5,42.6
77,84,20.1,523.3,38.3
78,83,4.6,665.9,38.5
79,152,2.5,1213.3,41.7
80,205,2.6,1161.7,41.0
81,109,2.2,1273.4,40.1
82,128,4.4,714.1,40.2
83,255,1.9,1333.3,45.3
84,147,67.0,256.9,45.0
85,126,3.8,340.1,43.4
86,121,4.7,370.0,44.5
87,176,3.8,459.7,45.6
88,103,188.7,552.9,42.2
89,517,2.6,960.0,48.3
90,225,2.2,834.6,50.1
91,139,3.7,1409.0,46.1
92,110,152.7,566.1,45.0
93,218,17.5,619.0,50.3
94,201,5.1,694.1,50.1
95,136,2.8,303.6,47.2
96,107,37.0,1195.7,46.1
97,104,6.1,388.0,47.4
98,141,2.7,1035.7,48.7
99,88,168.5,413.1,48.1
100,105,38.8,597.7,47.5
101,148,8.2,726.1,51.0
102,92,3.0,663.3,49.4
103,488,4.8,1092.7,56.3
104,80,72.5,517.5,51.2
105,92,1.9,1316.4,51.0
106,86,66.2,504.0,53.0
107,152,24.4,779.5,52.5
108,118,13.0,1178.7,51.4
109,157,2.5,1149.2,55.2
110,147,82.1,711.6,56.6
111,155,32.8,801.6,53.9
112,158,3.1,1023.8,56.4
113,60,1.8,1305.8,52.3
114,258,120.4,159.8,57.5
115,320,2.7,1066.6,59.2
116,119,3.7,438.2,59.4
117,277,43.2,859.6,60.9
118,402,2.6,993.1,62.9
119,90,2.0,1248.2,58.3
120,144,3.1,472.7,59.4
121,250,17.6,536.5,62.1
122,391,2.7,85.5,66.3
123,126,6.4,426.1,61.8
124,133,2.9,650.9,60.5
125,100,2.1,1274.0,60.8
126,86,2.9,335.5,62.3
127,164,5.3,491.2,66.0
128,245,5.8,915.4,63.5
129,113,3.2,1162.9,61.6
130,151,2.3,1218.3,62.4
131,102,2.9,299.4,62.1
132,142,2.3,1204.0,66.0
133,72,3.8,356.2,62.6
134,144,27.8,596.9,65.8
135,109,3.0,1178.1,63.1
136,132,28.9,1396.7,63.3
137,144,3.1,1424.6,63.4
138,143,4.9,248.7,66.4
139,222,6.8,400.4,69.3
140,93,112.6,551.1,65.3
141,327,4.0,191.6,68.3
142,138,200.5,612.5,69.6
143,181,3.6,690.1,69.2
144,182,121.5,513.0,68.0
