 ,Area,Mean,X,Y
1,146,71.4,1015.2,7.8
2,182,1.6,362.9,11.0
3,201,2.0,405.4,11.4
4,166,49.5,1138.4,11.5
5,192,1.4,330.0,12.0
6,3,2.0,1176.2,5.8
7,131,1.9,1206.4,11.3
8,121,2.0,1188.6,14.2
9,101,2.0,732.9,15.6
10,40,21.5,602.1,12.3
11,202,1.7,859.9,18.3
12,102,1.9,759.5,15.6
13,17,73.7,580.4,12.9
14,152,2.4,665.7,18.9
15,101,2.0,749.8,17.1
16,121,1.9,1301.1,20.6
17,151,1.9,642.9,18.6
18,44,1.5,808.1,15.9
19,239,1.3,248.3,22.7
20,37,2.1,1042.8,20.0
21,41,2.0,1049.4,18.8
22,118,2.0,1218.8,22.6
23,170,1.6,433.5,23.3
24,29,1.8,447.4,19.5
25,60,2.0,620.7,20.3
26,149,1.8,682.5,24.5
27,146,1.9,1065.1,23.5
28,198,1.4,267.8,23.3
29,180,1.8,374.2,23.8
30,27,68.0,581.4,20.1
31,131,2.2,1233.1,26.1
32,206,1.8,419.3,28.3
33,166,2.0,745.7,27.3
34,113,18.3,1106.9,25.2
35,70,54.3,1139.1,25.7
36,102,6.0,565.2,25.8
37,79,1.2,30.0,26.5
38,228,1.3,227.0,27.7
39,225,1.4,152.7,28.9
40,79,1.7,536.6,27.8
41,185,1.8,765.1,30.2
42,121,1.9,1082.3,27.5
43,32,85.5,1024.7,27.6
44,130,1.8,1265.2,33.7
45,38,1.7,483.9,28.9
46,73,2.3,589.9,29.5
47,184,2.3,702.4,34.7
48,235,1.6,309.3,36.0
49,21,1.8,498.4,28.3
50,23,1.5,57.9,30.2
51,74,1.7,801.7,32.3
52,114,2.5,1194.9,32.2
53,246,2.1,994.4,34.5
54,66,104.4,1160.9,32.7
55,126,2.0,602.8,38.5
56,184,1.5,295.0,39.4
57,87,2.9,1239.0,35.9
58,125,2.0,404.8,40.1
59,175,1.7,825.0,41.0
60,221,2.0,1080.6,41.8
61,13,1.8,484.5,36.5
62,116,2.0,680.9,41.6
63,47,1.7,1303.8,38.7
64,144,2.0,383.6,44.0
65,58,127.9,722.9,40.2
66,208,1.5,899.8,44.4
67,2,80.0,1029.5,36.0
68,206,2.4,1216.9,44.3
69,65,1.8,563.0,41.9
70,76,1.9,574.1,41.6
71,21,1.8,792.2,39.4
72,3,2.0,1061.2,36.8
73,79,1.7,458.1,42.1
74,127,2.4,1230.3,44.8
75,161,1.4,109.1,46.1
76,219,1.4,188.7,47.6
77,85,2.0,430.4,45.1
78,148,1.9,624.9,43.3
79,11,1.7,873.5,39.5
80,20,1.6,946.6,41.1
81,210,3.6,356.3,44.8
82,1,2.0,943.5,39.5
83,142,1.6,866.7,47.3
84,8,1.8,939.9,41.6
85,58,1.9,1053.9,42.7
86,114,6.2,1123.0,46.3
87,95,12.4,1145.8,45.6
88,178,2.0,420.0,51.7
89,85,2.3,446.7,49.4
90,240,2.1,993.7,56.3
91,131,2.1,756.0,52.8
92,9,1.8,1297.2,45.6
93,40,11.5,1137.3,49.7
94,72,1.8,1280.3,50.7
95,154,26.0,67.4,54.5
96,175,1.5,254.9,53.3
97,129,2.0,635.2,54.2
98,180,2.0,680.7,56.0
99,11,1.5,934.1,49.4
100,217,14.0,1038.1,57.2
101,116,1.9,1069.8,54.0
102,129,2.2,1082.0,55.1
103,139,8.5,1188.1,54.3
104,176,4.0,499.5,57.8
105,46,2.0,1258.1,52.6
106,126,1.9,1322.8,57.5
107,147,2.7,1172.1,59.0
108,30,1.6,961.7,56.3
109,203,1.8,649.6,62.6
110,52,1.7,466.4,57.3
111,218,51.0,1112.1,62.9
112,10,1.8,1272.5,55.7
113,147,2.0,383.1,62.3
114,10,1.9,523.2,56.9
115,3,1.7,601.2,55.8
116,32,2.6,731.5,58.8
117,88,1.9,328.0,61.8
118,69,1.9,434.8,62.1
119,156,1.9,485.3,62.5
120,194,5.6,713.1,65.7
121,179,1.7,794.6,65.2
122,165,1.7,966.8,65.4
123,143,2.1,1059.1,63.7
124,56,2.1,1258.9,60.1
125,192,55.9,142.6,66.2
126,25,94.6,355.5,62.0
127,23,1.7,774.5,58.9
128,19,1.8,562.1,60.0
129,28,1.7,615.0,60.9
130,239,1.6,825.2,67.7
131,9,7.6,1195.2,59.8
132,121,2.3,1229.4,64.5
133,108,2.4,1244.2,64.2
134,52,1.6,779.7,64.5
135,126,1.8,1304.3,66.9
136,14,1.6,575.2,63.0
137,186,2.1,690.6,68.7
138,148,1.5,882.0,68.9
139,63,1.9,449.2,67.8
140,196,1.5,292.3,69.2
141,72,1.8,5.2,70.2
142,211,1.8,170.5,72.2
143,187,1.6,854.1,73.1
144,198,1.8,322.4,75.2
145,195,1.9,394.4,73.5
146,231,3.5,1121.8,75.9
147,7,1.9,581.2,68.5
148,195,4.9,724.4,77.0
149,179,1.9,426.2,78.2
150,91,2.3,1203.6,75.2
151,84,6.7,109.8,73.1
152,234,2.2,1000.4,77.1
153,173,2.8,1094.9,75.7
154,14,1.8,471.0,72.0
155,132,1.9,505.2,77.5
156,16,1.6,614.2,72.8
157,195,2.5,1237.1,76.9
158,109,2.6,1333.4,76.3
159,179,1.6,73.3,80.0
160,214,1.9,753.5,81.4
161,85,42.4,1152.2,77.4
162,108,2.6,1257.9,78.5
163,109,1.9,640.2,80.7
164,101,2.5,1291.6,79.8
165,11,43.7,35.1,75.4
166,115,1.9,1277.0,79.6
167,3,1.0,265.8,75.8
168,28,1.9,549.6,80.0
169,188,2.1,1103.3,85.7
170,80,1.8,55.2,81.0
171,165,1.8,380.3,85.5
172,77,2.3,491.7,83.1
173,34,1.7,930.7,80.7
174,133,3.5,1310.8,83.8
175,160,1.4,208.2,86.3
176,15,2.3,568.0,79.9
177,200,2.1,680.4,85.6
178,34,82.5,1035.4,82.4
179,13,1.6,920.7,81.9
180,56,2.1,348.0,85.4
181,136,1.7,401.1,89.4
182,26,3.2,1170.2,85.2
183,3,2.7,1178.2,82.8
184,43,2.3,1188.7,85.9
185,137,1.8,654.4,90.7
186,11,43.6,1148.9,84.6
187,90,1.9,479.3,89.2
188,97,151.7,704.3,89.8
189,81,2.2,500.6,92.8
190,230,1.7,809.2,95.1
191,159,2.3,534.5,92.1
192,235,1.7,770.0,93.5
193,104,2.6,1263.2,93.5
194,222,9.3,1303.3,98.9
195,168,4.6,1054.4,93.4
196,106,2.2,1283.7,94.2
197,70,1.9,345.3,95.8
198,2,2.5,1185.0,90.0
199,112,1.7,1419.4,96.1
200,171,1.6,251.5,101.1
201,74,2.1,517.3,97.4
202,38,81.7,1037.9,95.1
203,5,2.8,1174.9,92.7
204,292,8.6,1321.2,100.3
205,187,1.9,670.7,99.5
206,98,14.3,1129.7,97.4
207,216,1.9,104.7,102.2
208,103,1.7,285.5,99.4
209,28,1.8,566.6,96.6
210,98,2.4,1210.4,99.1
211,36,1.9,573.8,96.6
212,18,1.6,619.3,96.2
213,205,1.8,749.6,103.0
214,230,2.0,1099.9,102.5
215,87,1.6,216.9,99.8
216,72,1.9,584.3,101.1
217,3,2.0,423.2,98.2
218,73,1.8,608.1,102.5
219,203,1.9,655.7,106.5
220,195,1.5,835.0,107.8
221,68,1.5,52.2,103.5
222,212,1.7,460.0,110.2
223,61,1.7,626.2,103.4
224,100,1.4,68.8,104.9
225,65,1.8,310.4,104.2
226,215,2.2,492.8,107.1
227,173,1.8,526.6,106.6
228,172,2.9,1239.4,107.4
229,67,2.6,1256.3,109.8
230,119,1.7,405.8,108.6
231,82,1.8,963.7,105.5
232,108,2.9,1048.3,108.6
233,68,2.0,1057.2,105.6
234,5,2.6,1251.9,102.3
235,166,1.9,380.7,108.4
236,139,1.9,725.2,110.1
237,119,3.4,986.1,109.0
238,94,2.1,1275.3,106.9
239,26,38.2,125.7,108.8
240,154,1.9,271.9,113.1
241,248,1.7,799.8,115.2
242,104,2.5,1167.1,110.3
243,161,2.0,330.6,111.7
244,187,1.8,632.9,114.3
245,283,3.1,1226.1,115.9
246,100,1.6,86.0,114.5
247,82,1.9,509.8,113.7
248,51,1.6,238.4,113.1
249,61,2.0,690.9,113.6
250,41,2.0,707.7,113.2
251,194,2.4,148.5,116.8
252,245,2.1,1091.9,120.7
253,97,2.6,1264.9,115.8
254,210,2.1,1301.1,120.3
255,83,1.5,65.4,116.2
256,109,1.8,224.7,115.8
257,186,2.4,294.7,119.9
258,159,1.9,666.6,120.6
259,113,1.8,739.7,121.6
260,34,2.1,616.9,119.2
261,255,2.1,1018.9,124.4
262,185,2.0,1156.3,123.6
263,189,2.1,718.5,125.9
264,242,1.6,815.4,124.7
265,105,2.8,1215.1,123.5
266,122,1.7,1394.3,125.8
267,23,1.8,588.7,121.6
268,105,1.9,605.7,123.3
269,8,80.8,978.4,119.4
270,101,1.7,1402.1,128.7
271,214,2.2,109.7,127.6
272,6,1.5,557.0,120.5
273,201,1.9,691.5,127.4
274,112,2.0,403.9,126.5
275,36,1.9,539.3,123.1
276,5,2.4,956.7,120.9
277,103,2.5,1173.6,124.3
278,47,2.2,1278.5,125.8
279,98,2.7,1199.3,126.9
280,6,76.3,974.7,123.7
281,41,1.3,40.5,126.8
282,98,2.0,90.8,128.6
283,12,2.3,963.5,125.0
284,214,3.1,1237.3,132.3
285,10,2.0,1286.0,124.7
286,120,1.7,771.5,132.3
287,56,1.7,233.5,129.2
288,153,26.6,428.9,134.1
289,76,1.4,9.9,130.3
290,139,6.1,340.6,135.0
291,150,2.1,361.1,131.4
292,36,1.8,529.2,131.1
293,79,1.6,78.2,131.2
294,130,2.0,620.6,135.5
295,8,1.5,777.4,128.6
296,163,2.0,1142.0,135.1
297,3,1.0,178.2,128.8
298,174,4.0,269.9,136.0
299,127,1.6,933.1,134.5
300,19,25.4,1266.0,130.6
301,26,86.9,980.0,131.9
302,192,2.1,1167.5,137.0
303,88,2.6,450.1,136.7
304,51,26.5,1269.6,136.5
305,93,1.5,33.1,137.7
306,151,1.9,252.5,137.7
307,122,2.7,1227.9,139.7
308,238,1.5,95.9,140.7
309,207,1.6,119.9,143.3
310,9,1.7,567.9,134.2
311,194,3.8,654.5,141.9
312,9,1.9,1013.8,134.6
313,246,1.7,800.7,142.6
314,23,2.1,1009.0,137.8
315,172,78.1,299.5,142.6
316,93,2.3,1188.0,142.1
317,160,2.0,630.6,146.6
318,122,1.8,1015.7,147.3
319,485,2.0,1072.2,147.2
320,101,2.4,1203.4,144.5
321,101,3.2,1280.2,145.7
322,28,1.4,58.6,143.0
323,60,1.7,739.7,144.7
324,101,2.2,976.3,145.7
325,17,1.9,1156.0,143.9
326,134,1.9,391.1,149.3
327,155,2.3,705.6,151.7
328,141,88.1,667.0,151.0
329,95,33.9,1103.0,148.1
330,388,1.8,140.7,156.3
331,135,2.2,370.7,149.7
332,168,2.4,416.7,154.5
333,107,163.2,439.3,149.7
334,79,1.9,1306.3,150.4
335,2,2.0,63.0,146.5
336,134,1.5,186.0,151.2
337,27,2.0,1150.7,148.3
338,41,1.7,244.8,154.7
339,201,5.5,300.7,157.5
340,182,2.0,988.7,159.3
341,234,2.3,1233.6,156.2
342,110,3.4,1272.9,155.4
343,46,100.2,340.5,155.7
344,24,1.8,516.7,154.6
345,194,2.1,616.3,158.5
346,173,2.9,318.4,158.1
347,2,3.0,552.5,153.0
348,57,1.5,44.5,156.3
349,15,1.4,200.0,155.4
350,150,2.2,596.9,159.7
351,73,1.7,105.5,158.1
352,108,3.1,688.3,162.6
353,1,1.0,741.5,154.5
354,51,1.5,796.8,158.3
355,118,1.7,1026.2,161.6
356,96,1.5,17.8,159.6
357,207,1.6,173.1,163.7
358,204,2.3,1192.9,164.5
359,206,1.8,724.7,165.0
360,67,1.6,949.0,162.2
361,1,2.0,948.5,157.5
362,97,2.7,1311.3,163.3
363,56,1.6,73.7,161.2
364,118,1.8,1055.2,164.8
365,108,2.0,1205.6,166.0
366,13,1.6,392.0,161.1
367,172,2.0,490.9,168.1
368,439,2.5,1084.6,171.5
369,3,1.3,523.8,160.8
370,173,29.6,648.7,166.6
371,22,1.8,736.0,162.6
372,106,33.7,1104.9,166.7
373,65,1.8,1144.6,164.8
374,20,1.6,789.3,163.7
375,2,2.0,1153.0,161.5
376,110,3.0,1119.7,167.3
377,4,1.5,909.2,164.5
378,68,1.3,30.5,168.5
379,161,2.1,418.6,171.4
380,88,1.8,527.2,168.5
381,81,2.0,1238.4,169.0
382,38,1.8,223.2,168.7
383,281,2.0,1172.3,174.0
384,53,1.8,94.2,172.4
385,77,3.2,298.9,169.8
386,184,2.6,317.8,175.6
387,188,2.0,693.7,175.4
388,172,1.9,1131.5,173.3
389,26,1.5,910.8,169.9
390,12,1.9,189.6,170.7
391,37,5.1,453.0,171.3
392,7,1.4,117.5,172.8
393,146,2.7,677.8,178.8
394,115,2.0,1256.0,176.6
395,14,1.4,45.0,173.8
396,42,1.9,64.1,177.2
397,27,2.1,438.5,175.2
398,53,1.8,1019.4,177.2
399,67,2.8,261.0,178.1
400,105,126.9,282.4,178.4
401,5,1.4,915.7,175.1
402,59,1.8,1062.1,179.0
403,216,2.2,1197.6,181.4
404,72,1.4,79.6,182.2
405,170,2.2,592.9,181.8
406,37,3.1,305.0,180.1
407,221,1.7,748.2,183.2
408,61,1.8,555.6,182.4
409,60,1.7,786.1,183.1
410,32,15.2,977.2,183.1
411,126,1.8,1272.5,185.7
412,125,2.2,1292.4,185.5
413,103,80.0,1314.9,184.6
414,7,1.9,136.5,181.5
415,1,3.0,371.5,180.5
416,46,1.9,1116.9,183.9
417,317,1.9,1159.7,191.2
418,36,1.8,387.8,183.5
419,177,1.8,545.6,190.5
420,91,91.0,629.9,187.4
421,27,1.7,1022.9,186.1
422,36,1.5,177.5,186.6
423,29,2.3,221.9,186.1
424,38,1.9,1109.9,187.3
425,101,1.8,422.4,190.1
426,11,2.0,453.2,185.1
427,64,1.9,504.6,188.6
428,7,2.0,439.5,186.8
429,94,2.3,954.8,192.4
430,34,1.7,1059.2,187.9
431,217,2.5,1177.8,193.1
432,107,95.5,1224.2,189.2
433,72,3.1,387.3,190.9
434,164,5.8,804.3,193.1
435,20,2.4,966.1,188.8
436,42,1.6,31.6,190.4
437,28,5.2,267.5,189.2
438,194,4.3,645.0,196.2
439,184,2.1,698.0,193.2
440,38,102.9,618.2,193.0
441,5,15.2,980.1,189.3
442,170,1.3,80.1,197.7
443,173,2.1,479.3,198.2
444,123,1.7,562.3,195.6
445,149,1.7,1034.2,196.7
446,104,2.6,1205.7,198.1
447,188,1.8,722.3,198.9
448,33,2.5,966.3,195.0
449,119,1.8,1053.2,196.4
450,127,1.8,1257.3,198.3
451,158,38.3,380.3,200.2
452,10,141.6,664.5,195.3
453,13,1.2,113.5,196.1
454,38,1.3,92.1,199.3
455,94,1.7,1091.0,200.0
456,10,2.0,203.5,197.7
457,44,2.5,598.7,202.0
458,185,1.7,177.2,206.6
459,17,148.3,665.4,200.1
460,107,1.8,1103.3,205.8
461,106,2.8,1224.9,205.3
462,160,3.6,283.5,207.6
463,105,54.4,316.6,207.5
464,79,1.7,1081.1,205.3
465,127,2.1,1417.2,206.0
466,79,3.1,626.4,205.8
467,86,1.7,996.6,208.5
468,122,1.9,1286.2,206.8
469,188,2.2,557.3,210.6
470,16,138.5,667.2,204.8
471,54,2.2,262.7,206.8
472,100,1.9,1127.2,208.5
473,56,2.0,1188.1,206.7
474,31,45.8,223.2,206.6
475,83,2.2,1161.9,210.4
476,78,2.1,20.0,211.0
477,81,1.9,32.4,212.2
478,57,1.5,147.7,208.7
479,98,79.8,494.3,212.6
480,114,1.9,1256.8,211.4
481,165,2.2,471.8,212.5
482,88,1.5,49.2,212.1
483,78,1.7,64.8,213.4
484,17,1.9,241.8,208.2
485,22,1.8,1302.5,209.6
486,120,2.0,1272.0,216.0
487,98,1.8,1295.8,216.7
488,84,2.0,538.5,215.8
489,216,2.5,691.2,217.1
490,80,2.2,1145.0,216.8
491,27,2.2,1187.8,212.8
492,82,2.2,271.0,217.5
493,41,16.7,766.5,215.9
494,56,2.1,258.1,216.6
495,19,1.9,419.7,214.4
496,118,2.5,517.9,219.4
497,101,17.5,774.6,218.4
498,230,1.7,1010.7,224.7
499,33,1.9,198.8,216.2
500,137,1.9,357.5,220.0
501,170,1.9,374.3,222.4
502,52,77.8,604.7,219.9
503,92,1.9,1242.9,218.9
504,95,1.9,1223.6,221.5
505,17,1.9,230.2,217.8
506,20,1.8,991.6,218.9
507,98,1.8,42.5,223.6
508,144,1.8,1048.4,225.1
509,112,3.4,1107.6,222.9
510,130,2.1,328.8,225.6
511,107,2.0,648.9,222.8
512,199,2.7,1125.0,225.2
513,98,2.6,1174.3,225.3
514,141,1.6,92.0,227.0
515,152,2.1,670.9,225.5
516,80,1.8,59.8,224.1
517,64,4.4,303.8,227.0
518,79,2.7,319.2,227.1
519,7,1.9,526.9,221.8
520,224,1.8,742.7,229.4
521,17,1.6,1067.5,222.5
522,112,1.8,1203.4,226.9
523,55,2.3,591.8,226.2
524,29,1.8,419.1,224.7
525,127,2.5,1091.7,228.8
526,228,1.8,809.6,231.3
527,113,1.6,160.8,229.5
528,19,1.5,187.8,226.2
529,85,3.2,290.5,229.9
530,126,1.9,1428.5,230.9
531,69,12.6,24.3,230.1
532,72,2.0,429.6,231.9
533,221,1.8,723.7,232.3
534,58,6.1,615.7,230.8
535,62,1.7,1072.3,231.3
536,59,2.5,473.3,231.0
